#iteration,Porcupine Basin,Rockall Plateau area A,Rockall Plateau area B,Rockall Plateau area C,Rockall Plateau area D,Northeast Greenland basin,Voring / More basin,Faroe-Shetland basin,Total
101,333.9979897,185.9872996,436.5593084,2464.315258,138.461314,815.0353922,1723.294842,794.3173868,6891.968791
102,142.7615785,157.0752017,366.8187275,2149.096076,81.43628646,977.4347883,2863.497412,963.1477545,7701.267825
103,419.5043974,296.8543381,532.7208697,1945.177931,67.18810385,733.8674911,1871.862321,763.948617,6631.124069
104,471.2965018,226.4204739,396.7501729,1757.685238,148.3498035,1226.42904,2500.974785,975.4188846,7703.3249
105,247.4195006,260.9338047,651.2330335,1913.879656,122.2831495,599.0159761,3403.668823,802.1287424,8000.562686
106,208.0383599,263.7230522,456.8924913,5178.392095,89.09581826,1061.860888,2288.258785,797.3582235,10343.61971
107,190.7553582,225.8106923,454.3645971,1751.246409,92.2081303,911.0783729,3165.175007,667.4797522,7458.118319
108,260.4102852,330.107373,548.7165538,2148.7875,75.27550933,734.5497891,1396.71796,535.7894835,6030.354454
109,259.1731532,230.9123033,535.2294836,2509.622283,126.7329454,1026.145972,4806.675367,1242.528501,10737.02001
110,202.8521154,258.5911137,538.8525492,1479.563505,113.434947,972.2204929,1924.928161,1048.900303,6539.343187
111,230.0560224,239.065411,483.5244133,4716.308784,136.2021071,999.6885342,2848.51597,784.1949042,10437.55615
112,220.4557801,244.8847055,433.8540631,2335.966025,149.2636638,765.7728653,4142.717419,1299.311003,9592.225525
113,575.2471226,184.3291092,369.7355568,4306.606601,218.8931908,881.8932576,1802.492896,664.7387622,9003.936496
114,274.3622782,204.3726082,481.9056147,1571.553064,93.6441272,1658.509977,2768.575312,916.2900666,7969.213048
115,290.9157072,151.2018269,534.9389695,2809.721446,113.1820289,609.3249006,2567.594362,895.6714328,7972.550674
116,388.5741458,189.7669321,348.216267,2444.967666,86.71672288,734.2663623,3296.385924,835.4027161,8324.296736
117,220.5307351,370.153758,405.7155975,2192.872744,94.83479053,782.682876,4300.499694,1329.581152,9696.871347
118,240.4081189,283.8035231,421.5021572,3253.088414,89.25336094,686.3951214,2631.337512,826.265124,8432.053332
119,201.9103454,292.9869358,574.1980542,3717.798672,98.34675076,1113.163237,2573.856566,715.288663,9287.549224
120,253.5680543,239.2480194,422.6125051,1817.547845,82.41717163,1195.413012,2817.792807,769.5301618,7598.129576
121,136.350675,287.6636553,395.910522,2800.130541,153.3036194,894.3937326,2849.408425,932.768539,8449.929709
122,188.9078705,203.6253627,387.6483166,2464.364448,136.5217246,1105.68891,4679.670791,1292.793933,10459.22136
123,199.8212096,188.2490131,667.392341,4131.944077,129.3288646,1213.127486,2344.495427,705.2528752,9579.611294
124,212.0210601,207.6337302,423.9512246,2666.712565,118.1749734,559.0620035,3681.179014,876.6881182,8745.422689
125,220.1131339,241.7039079,1026.497735,1995.374683,170.0891827,707.851862,2282.998918,734.0123075,7378.64173
126,157.6429694,225.6077471,291.7901529,1726.846535,141.2617802,1187.76199,1534.259023,747.4311469,6012.601345
127,176.6693599,164.9857985,428.6973238,2376.666009,134.7980044,921.8609074,211.1729856,629.7812499,5044.631639
128,174.6140085,257.6862288,446.9341715,3519.943229,76.40957791,1073.480763,1667.377074,723.7573486,7940.202401
129,315.810162,624.8390635,328.6897694,1781.391785,115.4101647,1748.811582,2766.843095,1019.740743,8701.536365
130,276.3863819,210.9095643,329.2128112,4534.906586,144.6052139,1000.63152,3644.68192,846.0311166,10987.36511
131,292.9955611,215.6105069,443.4820913,1771.704529,97.39456033,1846.823092,2840.223282,922.962762,8431.196385
132,345.6709024,302.1765799,481.8392451,3793.570494,71.71371514,799.961478,1678.998768,1035.321151,8509.252334
133,283.5927872,464.9840247,371.0778661,5115.896151,120.1135162,1038.100877,2551.369405,756.1947284,10701.32936
134,224.5266754,210.5832955,604.874994,2572.56816,169.9276635,1008.499115,1938.400289,718.9166984,7448.296891
135,232.1691906,215.6438513,457.494559,1704.862572,106.4583625,552.0857607,1399.727842,824.5759994,5493.018138
136,243.7033107,254.4093148,789.0551683,2315.7719,106.3995828,560.0410431,2376.884462,785.2760832,7431.540865
137,225.8154322,257.9821419,462.2910175,1458.117886,84.81922264,624.4816927,1767.199371,799.1675204,5679.874284
138,311.1990511,256.9991542,420.3710788,1765.241772,67.01479255,685.7970796,3290.875259,893.2976454,7690.795833
139,181.6911333,255.1280722,595.8568994,3974.35586,69.57816014,618.0132633,3117.241184,866.9209821,9678.785554
140,296.0177433,326.2124873,494.3609424,2131.324436,86.17277688,498.4646387,2646.984891,971.0907463,7450.628662
141,341.4961863,240.4621303,321.4344012,1629.862767,86.78838912,1030.721648,2274.210215,740.0437526,6665.01949
142,231.3718397,234.5470792,408.8078683,1724.845285,48.96847369,1244.623712,1719.241025,548.4588919,6160.864175
143,274.040992,306.4870623,510.3821093,1760.659782,79.0604948,712.4446671,2439.903161,778.1111689,6861.089437
144,534.1239366,201.2408722,340.5185836,2095.251632,96.64507206,1177.99907,3937.157677,1043.756622,9426.693465
145,199.7828628,363.1621076,411.5375556,2900.94025,99.42136899,919.0421095,2431.147247,772.4425315,8097.476033
146,219.2926387,209.7816052,458.9592263,1510.216051,90.91622309,1040.293317,1866.399825,828.0846483,6223.943535
147,159.3083581,216.9576301,418.3269092,3637.260739,73.39869813,513.5719239,2010.759066,896.3668182,7925.950143
148,234.241833,276.7840043,384.4641581,2543.368087,73.14255727,1224.214327,2310.336676,811.5394917,7858.091134
149,185.1022403,284.4994186,463.9626714,2543.27982,172.7481783,747.1895517,1828.088865,575.1104853,6799.981231
150,270.539602,234.4142206,450.6746039,2520.873903,165.8235825,501.959125,3441.582421,951.9481938,8537.815652
151,288.7504936,177.8503401,511.5032929,2040.740778,88.86952891,1513.970613,1945.669575,845.8407176,7413.195339
152,340.5460053,230.807691,677.6780562,2055.446523,137.6177848,1028.171825,2497.826076,787.6652428,7755.759204
153,283.7432126,238.4928738,357.495514,2198.260416,83.72936112,739.2438842,1975.245632,601.8407528,6478.051647
154,250.1075406,261.1100951,567.8762538,2669.55266,129.177015,818.1993319,2539.098326,714.3680432,7949.489266
155,220.9229208,284.6601021,497.5209233,1623.769649,72.9348906,732.4158082,3345.773277,937.7752621,7715.772833
156,307.4798209,271.7729918,383.9327443,2892.040507,157.6777388,920.9100048,1131.592971,783.9184807,6849.325259
157,240.222333,297.640985,495.8147411,3921.323117,97.98485763,583.0348228,2792.443658,978.1170655,9406.58158
158,185.3553448,231.9267843,445.2704343,2422.961184,116.9007849,1073.355957,2321.149174,832.0243205,7628.943984
159,168.6881241,270.5129771,461.9855003,3221.883619,113.7464964,1027.780469,1820.161926,657.4771709,7742.236283
160,270.1779608,387.8851462,428.1552208,2682.748624,68.12575346,1280.136005,4330.072723,1605.302222,11052.60366
161,173.3681289,227.1627961,464.3298792,1913.935158,218.7293239,658.6787511,1978.344157,591.3588412,6225.907035
162,219.2081237,301.132537,325.7284209,2625.939137,87.12747002,954.9543077,2119.608267,727.1889089,7360.887172
163,160.1217446,238.36245,464.468721,2224.13413,96.88828184,371.0193854,1868.989052,927.7437285,6351.727493
164,287.9039149,177.1830348,465.751231,2623.46567,78.53766402,2219.070041,3171.521554,717.5271419,9740.960252
165,155.763879,436.0024408,601.3718267,1381.715481,75.22372235,491.5804646,2640.153539,658.7177634,6440.529117
166,319.6736173,251.1860265,533.6829728,2689.461843,79.82737531,951.1465394,3114.480684,806.0941168,8745.553175
167,166.6446902,223.6345267,473.137914,1552.508107,93.63514828,720.3526514,4273.030655,1123.804722,8626.748415
168,210.365188,209.6796702,299.0135016,2978.595814,133.9877598,921.4546508,4140.438742,1043.581591,9937.116917
169,270.1535229,273.4238516,555.1934656,2121.845458,94.66234297,770.2414515,1812.689745,775.0715392,6673.281377
170,201.2882752,224.2970812,368.2033351,2645.420268,102.9459038,900.1258078,3371.977972,783.2548834,8597.513527
171,148.5873341,286.7672178,430.2253248,1634.545949,163.394326,1022.524087,3185.481263,896.5812779,7768.10678
172,203.3147614,322.8630059,530.050649,1281.220012,69.3800865,763.7977977,1752.014935,1098.049668,6020.690916
173,218.4869504,336.0284438,343.9220686,3492.391365,85.40217423,1315.531593,4298.001348,1416.892922,11506.65687
174,279.730219,271.3882328,607.2888014,1952.172375,84.30647508,1365.965982,1547.204002,912.3846903,7020.440778
175,202.718169,313.4670355,759.3342333,1454.684299,165.676613,1032.561223,3529.658497,1240.832994,8698.933064
176,220.8140736,304.7639812,416.3168386,1957.411736,72.11258801,594.334137,1733.062959,779.8732907,6078.689604
177,200.524216,236.0959251,570.0522529,3315.559541,44.40412137,551.2733424,5203.11044,1170.967325,11291.98716
178,261.0259152,288.1885048,606.6793055,2733.220009,120.5197132,1284.035875,1361.069446,668.7246924,7323.463461
179,380.2286546,307.2084108,351.7612631,2118.217687,92.39052916,2070.341658,3190.210839,886.7402214,9397.099263
180,241.3965139,247.2171088,662.0514493,2011.720445,73.20343192,1137.34995,1878.91084,736.1386833,6987.988422
181,213.0122483,236.9577784,631.823591,2699.346047,91.69595704,678.9413899,2153.746871,1123.769184,7829.293067
182,251.972017,254.8704484,436.530238,2097.808605,74.71803796,1185.560044,2499.061061,989.9297015,7790.450153
183,276.3420985,183.3019016,483.7137797,2423.951769,92.10824565,1021.476713,3772.597476,1432.904668,9686.396651
184,339.627694,325.4758333,415.4219162,2248.64577,110.7157857,974.2009708,3078.712845,766.5157839,8259.316599
185,401.7494674,293.9074111,422.9428866,2545.627866,138.0288198,1988.829002,2013.299723,914.9608064,8719.345982
186,184.5105983,266.7277641,454.5292805,2071.411139,104.3677013,1203.583798,1996.368415,653.8379827,6935.336679
187,136.0257938,190.3408899,489.6847929,1613.530452,74.52950987,881.3775354,3491.846822,903.187513,7780.523309
188,298.364883,175.7490546,800.0886439,2189.876149,96.59707057,793.0093466,2475.714177,921.7267946,7751.126119
189,220.3003482,285.6078009,415.778211,2672.20041,96.26004355,703.0072524,2056.244309,1266.915189,7716.313564
190,167.7148828,160.3717138,922.5519644,2385.274995,105.2449472,1509.451422,2369.172912,667.0134619,8286.796299
191,231.6495861,262.6690676,460.72738,3099.824544,84.04517461,583.7937689,2192.510136,613.9142799,7529.133937
192,241.2190274,210.0502311,400.6794863,2162.19551,89.7580996,1042.016767,1584.539009,648.610606,6379.068736
193,247.5285909,288.7848137,342.1285128,1629.488708,99.13619181,1080.807868,2933.930514,859.0519372,7480.857136
194,173.0811236,216.4249951,429.0748304,2099.838314,83.6387858,764.5195993,2533.291775,915.9013129,7215.770736
195,147.8758103,279.060275,325.4661816,2870.849655,141.4408569,1066.765893,1685.621435,736.1940148,7253.274122
196,328.5083208,182.4194829,682.070582,2016.076836,69.61055659,791.459235,2698.086046,1194.02115,7962.252209
197,135.8237997,280.6987906,435.6757537,3407.39553,80.19633561,1187.175305,2471.4658,812.9354073,8811.366722
198,252.9590433,312.5165855,305.5609255,1437.482677,107.1451488,1901.278129,1793.372228,849.0830505,6959.397788
199,404.0348325,390.7292108,745.4546986,2405.903993,336.5658734,860.7685338,3387.193655,810.0394994,9340.690297
200,259.9940708,403.7623263,616.0368398,2223.653624,73.45276534,1331.43193,3746.730648,1125.805783,9780.867987
201,220.2292758,204.2152258,519.758703,3439.550966,81.92798375,666.9069579,2514.449171,685.7300022,8332.768285
202,238.0747818,236.9435771,589.9387321,2729.750147,96.31659366,467.549241,2831.460251,878.2192764,8068.2526
203,163.1591873,243.8692694,802.4755809,2572.933543,105.161004,1309.020342,1947.403252,712.2011772,7856.223356
204,208.9758868,323.4453082,571.7940794,2537.512803,106.958048,873.083534,2334.726858,986.9744433,7943.470961
205,189.5441654,266.2102586,438.8179263,3456.95611,89.61995942,612.4406295,2253.742991,978.463924,8285.795964
206,233.1983194,226.1084417,356.1440706,1951.079117,95.77472271,592.2718496,3603.269195,943.1918619,8001.037578
207,243.741829,373.1094272,419.2501969,1700.659713,148.0469424,749.4178035,3452.464443,1266.186526,8352.876881
208,447.1932112,324.7383382,329.7530638,2746.964871,118.1430527,814.4856178,2664.609798,972.5785295,8418.466482
209,190.6433696,352.154632,467.0709166,2463.29654,69.82876537,939.5586368,3092.425571,827.9421547,8402.920586
210,288.650018,308.0885349,477.8968536,1445.822939,123.0699624,1005.134489,4513.354675,1648.797573,9810.815045
211,312.0417978,184.7837164,835.6646939,2557.705925,122.1465195,765.9846035,2984.508431,761.9267579,8524.762445
212,481.3631,243.3557295,309.9319635,3778.169411,76.73266629,1219.289757,1921.865607,914.0875576,8944.795792
213,235.4436995,369.7050786,830.233021,2554.779312,83.92626499,515.4583147,1334.283273,636.5251721,6560.354136
214,260.7597145,305.0293847,376.0885568,1899.169256,183.7488431,633.0981864,3062.794546,1044.328565,7765.017053
215,426.8982688,218.0114865,359.3742191,3497.258715,101.3263055,635.9191611,3036.885227,968.3637077,9244.037091
216,185.7405529,248.9865662,291.4659645,2501.678971,76.34373247,777.6165083,3472.897878,853.1679184,8407.898092
217,374.2965218,317.371249,317.5581252,1852.975231,94.13439257,699.4622108,2107.862539,980.3425655,6744.002835
218,270.0599496,439.7419135,828.9356471,3399.47562,78.14324236,1080.812149,1691.504733,673.9976366,8462.670891
219,348.4835787,197.6920363,338.8775551,2463.886161,98.29504132,833.4200833,1856.313474,600.3507331,6737.318663
220,299.7669787,223.6739779,588.0562476,2947.451201,82.09703264,390.8410441,2635.422455,826.3571989,7993.666136
221,426.8099457,265.5596676,343.7224994,2418.411064,153.4778477,807.2984632,3014.545314,890.9952004,8320.820002
222,238.8251004,153.880593,325.979115,2172.525663,126.7454416,680.1307705,3315.04693,911.0823072,7924.215921
223,240.0700905,249.0601608,545.4782002,2457.399788,79.96617831,562.2739002,3410.131232,792.6015792,8336.981129
224,351.661151,317.017524,410.9672012,1949.814365,92.39386879,660.1910955,1540.569295,783.0513184,6105.665819
225,271.0868455,269.5641593,500.4033521,2268.427584,88.64922302,1210.526676,3141.730184,950.1515273,8700.539551
226,228.4302252,580.9505733,787.8967172,1959.747943,86.93232598,729.624328,3083.584674,661.6274868,8118.794273
227,274.9558003,211.0034173,872.6409814,2023.680986,97.4771336,1710.51296,1997.180069,783.315281,7970.766629
228,466.2209734,282.7504367,472.3538166,1415.663799,76.93022767,859.8695422,4534.212326,1122.414079,9230.415201
229,227.8375316,244.2074341,374.8875903,4656.993861,76.64534582,1481.985954,3001.222848,1274.585271,11338.36584
230,228.9113438,231.6012007,832.2113,2668.190334,97.90278365,1011.922197,2470.083786,822.0122633,8362.835208
231,331.6213606,295.2682513,446.5955083,2873.828405,91.31375903,1618.016031,2549.096476,1088.540632,9294.280423
232,512.7039199,190.676132,341.1566664,2284.115237,194.579639,1039.670871,1806.543143,864.2808783,7233.726487
233,171.3654309,264.6229682,362.5145993,2605.579752,50.447945,1165.338738,2173.817993,687.4419103,7481.129337
234,345.3758454,354.7897056,318.5187754,1965.212649,83.74114106,901.2208064,1804.382145,808.1020217,6581.34309
235,221.8966461,185.0653502,372.4224662,2079.312244,83.48493305,1166.635977,2429.290178,681.1151803,7219.222975
236,234.8524824,268.2472723,366.3502103,2560.073076,85.94133799,825.0236976,2129.408551,821.8755093,7291.772137
237,440.3351844,203.0632387,420.3588675,2086.455316,91.83167975,865.0796201,4032.99999,1007.396971,9147.520867
238,292.146144,287.4894689,331.6370622,1916.145403,107.5569379,1075.592078,2447.470671,655.3180907,7113.355856
239,195.2761763,227.6179961,244.8164563,1729.481345,80.3542523,922.8207462,5219.411326,1297.594104,9917.372402
240,203.460251,361.4966508,385.5522758,2011.935794,98.24835861,1268.181012,1754.760721,652.4075667,6736.04263
241,364.7359674,265.3591556,434.9030188,2233.654826,62.96468525,536.8399523,2874.795392,815.5989208,7588.851918
242,135.09291,207.498943,708.5050897,2119.822467,73.32499247,756.9652203,2158.646375,865.444796,7025.300793
243,335.2760063,315.7053874,454.1454147,1956.847882,86.90280633,749.8608504,2422.880361,709.8888782,7031.507586
244,222.2306426,339.4038422,506.3336817,2070.80033,109.123875,1087.174252,3995.738618,1194.901242,9525.706484
245,394.1545515,295.1324243,473.4455384,3253.174065,83.6199775,1187.713229,2816.552979,1129.158107,9632.950872
